"","title","ratingsCount","numPages","avgRating","year_publication"
"1","The Hunger Games",7829178,374,4.33,2008
"2","Harry Potter and the Order of the Phoenix",3097779,912,4.5,2003
"3","Pride and Prejudice",3869869,279,4.28,1813
"4","To Kill a Mockingbird",5602265,336,4.27,1960
"5","The Book Thief",2322766,552,4.39,2006
"6","Twilight",6075582,498,3.64,2005
"7","Animal Farm",3504423,141,3.98,1945
"8","The Chronicles of Narnia",609485,767,4.27,1956
"9","J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings",126209,1728,4.61,1955
"10","The Fault in Our Stars",4679988,313,4.15,2012
"11","Gone with the Wind",1172025,1037,4.3,1936
"12","The Giving Tree",1056519,64,4.38,1964
"13","Wuthering Heights",1656846,464,3.88,1847
"14","The Picture of Dorian Gray",1330585,272,4.12,1890
"15","Harry Potter and the Philosopher’s Stone",9122327,223,4.47,1997
"16","Jane Eyre",1947162,532,4.14,1847
"17","The Perks of Being a Wallflower",1627128,213,4.22,1999
"18","The Da Vinci Code",2225602,489,3.9,2003
"19","The Great Gatsby",4754476,180,3.93,1925
"20","Alice's Adventures in Wonderland / Through the Looking-Glass",529946,239,4.07,1871
"21","Memoirs of a Geisha",1913820,503,4.14,1997
"22","The Little Prince",1880095,96,4.32,1943
"23","Divergent",3650676,487,4.15,2011
"24","Les Misérables",760637,1463,4.19,1862
"25","The Lightning Thief",2641354,377,4.29,2005
"26","Crime and Punishment",801667,671,4.25,1866
"27","Lord of the Flies",2699948,182,3.69,1954
"28","Romeo and Juliet",2436682,281,3.74,1597
"29","Anne of Green Gables",903340,320,4.3,1908
"30","City of Bones",1895052,485,4.08,2007
"31","The Hitchhiker's Guide to the Galaxy",1717569,193,4.23,1979
"32","The Help",2568029,464,4.47,2009
"33","Ender’s Game",1294981,324,4.31,1985
"34","Charlotte's Web",1703554,184,4.19,1952
"35","Dracula",1155262,488,4.01,1897
"36","Of Mice and Men",2358477,103,3.88,1937
"37","The Alchemist",2734720,175,3.9,1988
"38","The Catcher in the Rye",3270943,277,3.81,1951
"39","Brave New World",1716791,268,3.99,1932
"40","One Hundred Years of Solitude",897746,417,4.11,1967
"41","The Time Traveler's Wife",1724747,537,3.99,2003
"42","Fahrenheit 451",2171115,194,3.97,1953
"43","A Thousand Splendid Suns",1404303,372,4.42,2007
"44","The Princess Bride",863049,456,4.26,1973
"45","The Secret Garden",1081473,331,4.15,1911
"46","A Game of Thrones",2327849,835,4.44,1996
"47","The Outsiders",1198294,192,4.12,1967
"48","A Wrinkle in Time",1143474,218,3.99,1962
"49","The Odyssey",1004197,541,3.8,-700
"50","The Adventures of Huckleberry Finn",1230228,327,3.83,1884
"51","The Lovely Bones",2249794,372,3.84,2002
"52","Little Women",2052129,449,4.13,1868
"53","Where the Wild Things Are",953523,38,4.24,1963
"54","1984",4113671,298,4.19,1949
"55","The Kite Runner",2912196,371,4.33,2003
"56","Green Eggs and Ham",727518,64,4.3,1960
"57","Frankenstein: The 1818 Text",1441235,260,3.85,1818
"58","Life of Pi",1535795,460,3.93,2001
"59","A Tale of Two Cities",903340,489,3.86,1859
"60","The Handmaid’s Tale",1857762,314,4.13,1985
"61","The Giver",2246079,208,4.13,1993
"62","Harry Potter and the Deathly Hallows",3417540,759,4.62,2007
"63","Lolita",781711,331,3.88,1955
"64","Water for Elephants",1543978,368,4.1,2006
"65","Slaughterhouse-Five",1287179,275,4.09,1969
"66","Dune",1174083,658,4.26,1965
"67","The Stand",714041,1152,4.34,1978
"68","Catch-22",797805,453,3.99,1961
"69","Harry Potter and the Prisoner of Azkaban",3728123,435,4.58,1999
"70","The Bell Jar",803601,294,4.04,1963
"71","Matilda",856006,240,4.33,1988
"72","The Pillars of the Earth",724328,976,4.33,1989
"73","The Adventures of Sherlock Holmes",281534,389,4.3,1892
"74","Watership Down",464745,478,4.08,1972
"75","Great Expectations",753622,544,3.79,1860
"76","Rebecca",573087,449,4.24,1938
"77","The Girl with the Dragon Tattoo",3003968,480,4.16,2005
"78","Outlander",977883,850,4.25,1991
"79","The Fellowship of the Ring",2659777,432,4.38,1954
"80","One Flew Over the Cuckoo's Nest",698718,325,4.2,1962
"81","The Color Purple",623977,304,4.25,1982
"82","My Sister's Keeper",1166498,423,4.09,2004
"83","Anna Karenina",788434,964,4.08,1878
"84","The Brothers Karamazov",294797,796,4.35,1879
"85","A Tree Grows in Brooklyn",437614,496,4.29,1943
"86","A Clockwork Orange",674720,240,4,1962
"87","The Road",828523,241,3.98,2006
"88","Angela's Ashes",603576,452,4.14,1996
"89","Vampire Academy",622756,332,4.11,2007
"90","Siddhartha",708782,152,4.06,1922
"91","The Golden Compass",1452595,399,4.01,1995
"92","It",1008939,1116,4.25,1986
"93","And Then There Were None",1179037,264,4.28,1939
"94","The Poisonwood Bible",711506,546,4.08,1998
"95","To Kill a Mockingbird",5602265,323,4.27,1960
"96","The Shining",1365759,659,4.26,1977
"97","The Complete Stories and Poems",243357,821,4.38,1849
"98","Interview with the Vampire",551203,346,4.01,1976
"99","Don Quixote",249715,1023,3.89,1605
"100","The Old Man and the Sea",1040521,96,3.8,1952
"101","Atlas Shrugged",378240,1168,3.69,1957
"102","The Notebook",1577326,227,4.14,1996
"103","Winnie-the-Pooh",310684,161,4.35,1926
"104","Harry Potter and the Goblet of Fire",3335601,734,4.56,2000
"105","Fahrenheit 451",2171115,158,3.97,1953
"106","A Prayer for Owen Meany",308867,637,4.24,1989
"107","Moby-Dick or, the Whale",529836,654,3.53,1851
"108","Harry Potter and the Half-Blood Prince",3001187,652,4.58,2005
"109","Clockwork Angel",787403,479,4.32,2010
"110","The Secret Life of Bees",1237681,302,4.08,2001
"111","The Red Tent",573573,324,4.19,1997
"112","The Stranger",932163,159,4.01,1942
"113","The Name of the Wind",876914,662,4.52,2007
"114","The Master and Margarita",310926,372,4.3,1967
"115","Harry Potter and the Chamber of Secrets",3527030,341,4.43,1998
"116","Flowers for Algernon",600444,216,4.18,1959
"117","Middlesex",621583,529,4.02,2002
"118","The Metamorphosis",890964,201,3.84,1915
"119","Eragon",1657140,503,3.93,2002
"120","The Adventures of Tom Sawyer",881650,244,3.92,1876
"121","The Alchemist",2734753,197,3.9,1988
"122","Charlie and the Chocolate Factory",794116,176,4.15,1964
"123","Looking for Alaska",1459937,221,3.98,2005
"124","The Hobbit",3597134,366,4.28,1937
"125","The Very Hungry Caterpillar",474684,26,4.32,1969
"126","The Curious Incident of the Dog in the Night-Time",1396486,226,3.89,2003
"127","The Shadow of the Wind",579228,487,4.29,2001
"128","Tuesdays with Morrie",939374,210,4.15,1997
"129","On the Road",388120,307,3.62,1957
"130","The Last Olympian",877057,381,4.53,2009
"131","The Unbearable Lightness of Being",419749,320,4.11,1984
"132","The Count of Monte Cristo",857472,1276,4.28,1844
"133","The Name of the Rose",344057,536,4.13,1980
"134","The Lion, the Witch and the Wardrobe",2584584,206,4.23,1950
"135","The Godfather",391990,448,4.38,1969
"136","Where the Red Fern Grows",384686,272,4.1,1961
"137","In Cold Blood",614280,343,4.08,1965
"138","The Scarlet Letter",816122,279,3.43,1850
"139","Holes",1126078,233,3.99,1998
"140","Fight Club",555740,224,4.19,1996
"141","Perfume: The Story of a Murderer",416762,263,4.03,1985
"142","The Five People You Meet in Heaven",671564,196,3.97,2003
"143","American Gods",872309,635,4.11,2001
"144","The Cat in the Hat",509581,61,4.18,1957
"145","Hush, Hush",671316,391,3.93,2009
"146","Watchmen",534175,416,4.37,1987
"147","The Divine Comedy",140519,798,4.07,1320
"148","Lonesome Dove",173798,960,4.51,1985
"149","The Little House Collection",149639,2700,4.35,1971
"150","All Quiet on the Western Front",415699,296,4.04,1928
"151","Peter Pan",326470,176,4.04,1911
"152","The Addiction Manifesto",1056,178,4.88,2018
"153","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",669039,491,4.25,1990
"154","Love in the Time of Cholera",474536,348,3.93,1985
"155","Insurgent",1398497,525,3.99,2012
"156","A Walk to Remember",774471,215,4.19,1999
"157","The Thorn Birds",338829,692,4.24,1977
"158","The Compleat Works of Wllm Shkspr",8667,137,4.46,2000
"159","Shadow Kiss",353222,443,4.34,2008
"160","The Battle of the Labyrinth",954652,361,4.41,2008
"161","How the Grinch Stole Christmas!",389532,64,4.37,1957
"162","The Ultimate Hitchhiker's Guide to the Galaxy",311475,815,4.38,1996
"163","The Importance of Being Earnest",346743,76,4.18,1895
"164","Their Eyes Were Watching God",317356,238,3.97,1937
"165","Clockwork Princess",416180,567,4.56,2013
"166","The Titan's Curse",913880,320,4.36,2007
"167","Eat, Pray, Love",1664380,368,3.61,2006
"168","The Wonderful Wizard of Oz",427651,154,3.99,1900
"169","Atonement",493023,351,3.93,2001
"170","The Three Musketeers",307667,625,4.09,1844
"171","The Sea of Monsters",1008279,279,4.24,2006
"172","The Lorax",326562,72,4.34,1971
"173","Goodnight Moon",355226,32,4.3,1947
"174","Frostbite",341143,327,4.26,2008
"175","A Midsummer Night's Dream",508617,240,3.95,1595
"176","The Maze Runner",1376038,384,4.04,2009
"177","Tess of the D’Urbervilles",269103,518,3.82,1891
"178","Heart of Darkness",479786,188,3.43,1899
"179","Blood Promise",301736,503,4.31,2009
"180","The Hunger Games Trilogy Boxset",210107,1155,4.49,2008
"181","The Prophet",278431,127,4.23,1923
"182","Six of Crows",758893,465,4.49,2015
"183","The Good Earth",240985,418,4,1931
"184","Bridge to Terabithia",515047,190,4.03,1977
"185","The Haunting of Hill House",250474,182,3.83,1959
"186","The Call of the Wild",400038,172,3.89,1903
"187","Alice in Wonderland",385133,92,4.03,1865
"188","The Joy Luck Club",649530,352,3.95,1989
"189","Catching Fire",3167874,391,4.31,2009
"190","The Mists of Avalon",201547,1009,4.13,1982
"191","The Phantom Tollbooth",273341,248,4.19,1961
"192","Murder on the Orient Express",541659,274,4.2,1934
"193","Throne of Glass",966789,406,4.19,2012
"194","Oh, the Places You'll Go!",383891,44,4.36,1990
"195","Madame Bovary",307311,329,3.7,1856
"196","Jonathan Livingston Seagull",237038,112,3.85,1970
"197","Oliver Twist",365928,608,3.88,1838
"198","Treasure Island",459192,311,3.84,1882
"199","The Silence of the Lambs",523733,421,4.23,1988
"200","The Neverending Story",189126,396,4.18,1979
"201","The Girl Who Played with Fire",885963,503,4.25,2006
"202","Ulysses",121519,783,3.75,1922
"203","The Night Circus",876998,387,4.03,2011
"204","The Selection",1371236,336,4.09,2012
"205","Fifty Shades of Grey",2399065,356,3.66,2011
"206","A Storm of Swords",736038,1177,4.54,2000
"207","The Clan of the Cave Bear",255330,516,4.08,1980
"208","The Boy in the Striped Pajamas",725738,240,4.15,2006
"209","A Farewell to Arms",300871,293,3.81,1929
"210","The Canterbury Tales",211737,521,3.52,1400
"211","The World According to Garp",220684,610,4.1,1978
"212","Jurassic Park",904395,466,4.08,1990
"213","The Secret History",540401,559,4.17,1992
"214","David Copperfield",222833,882,4.02,1850
"215","Beloved",396850,324,3.93,1987
"216","Thirteen Reasons Why",918115,352,3.86,2007
"217","Misery",624608,370,4.2,1987
"218","A Little Princess",294903,242,4.21,1905
"219","The Lost Hero",766864,553,4.32,2010
"220","Wicked: The Life and Times of the Wicked Witch of the West",587582,406,3.54,1995
"221","His Dark Materials",156092,1088,4.28,2000
"222","The Diary of a Young Girl",3436306,283,4.18,1947
"223","A Story of Yesterday",10435,70,4.59,2014
"224","A Court of Mist and Fury",960252,626,4.63,2016
"225","Shōgun",166583,1152,4.4,1975
"226","Schindler's List",156133,429,4.34,1982
"227","Extremely Loud & Incredibly Close",408713,326,3.97,2005
"228","The Green Mile",293557,592,4.47,1996
"229","The Velveteen Rabbit",249186,40,4.29,1922
"230","The Other Boleyn Girl",485422,661,4.08,2001
"231","The Silmarillion",263741,386,3.98,1977
"232","The Trial",286935,255,3.96,1925
"233","Clockwork Prince",522421,498,4.43,2011
"234","The Song of Achilles",1087808,378,4.37,2011
"235","Last Sacrifice",277717,594,4.38,2010
"236","Fallen",560592,452,3.72,2009
"237","A Confederacy of Dunces",261044,394,3.88,1980
"238","Cinder",852957,400,4.13,2012
"239","The Secret Magdalene",4424,448,4.16,2005
"240","The Sun Also Rises",414242,189,3.8,1926
"241","The Crucible",381520,143,3.6,1953
"242","Man's Search for Meaning",606224,165,4.37,1946
"243","Cat's Cradle",379679,179,4.16,1963
"244","The Screwtape Letters",405154,228,4.25,1942
"245","City of Fallen Angels",567935,425,4.09,2011
"246","Spirit Bound",284158,489,4.33,2010
"247","The God of Small Things",279800,321,3.95,1997
"248","The Wind in the Willows",203110,197,4,1908
"249","A Light in the Attic",424762,176,4.35,1981
"250","The Hiding Place: The Triumphant True Story of Corrie Ten Boom",301431,242,4.45,1971
"251","Gone Girl",2830141,415,4.12,2012
"252","The Phantom of the Opera",225222,360,3.96,1909
"253","Girl with a Pearl Earring",706112,233,3.92,1999
"254","Blindness",259507,349,4.16,1995
"255","Howl’s Moving Castle",295988,329,4.29,1986
"256","Uglies",631544,425,3.85,2005
"257","Ella Enchanted",404382,232,4,1997
"258","The Wind-Up Bird Chronicle",260703,607,4.15,1994
"259","A Clash of Kings",880210,969,4.41,1998
"260","She's Come Undone",336576,465,3.9,1992
"261","Marley and Me: Life and Love With the World's Worst Dog",462767,291,4.14,2005
"262","Shiver",467746,392,3.76,2009
"263","The House of the Spirits",238807,448,4.27,1982
"264","The Guernsey Literary and Potato Peel Pie Society",710744,291,4.18,2008
"265","The Shack",613050,294,3.81,2007
"266","The Sound and the Fury",173502,366,3.86,1929
"267","For Whom the Bell Tolls",277718,471,3.98,1940
"268","Fear and Loathing in Las Vegas",331323,204,4.07,1971
"269","Marked",473765,306,3.81,2007
